timestamp,open,high,low,close,volume
2023-07-26,341.4400,344.6700,333.1100,337.7700,58383702
2023-07-25,347.1100,351.8900,345.0700,350.9800,41637739
2023-07-24,345.8500,346.9200,342.3100,345.1100,26719207
2023-07-21,349.1500,350.3000,339.8300,343.7700,69405382
2023-07-20,353.5700,357.9700,345.3700,346.8700,33778395
2023-07-19,361.7500,362.4600,352.4350,355.0800,39732901
2023-07-18,345.8300,366.7800,342.1700,359.4900,64872705
2023-07-17,345.6780,346.9900,342.2000,345.7300,20363927
2023-07-14,347.5900,351.4300,344.3100,345.2400,28352729
2023-07-13,339.5600,343.7400,339.0200,342.6600,20567159
2023-07-12,336.6000,341.6520,335.6700,337.2000,29995262
2023-07-11,331.0600,332.8600,327.0000,332.4700,26698218
2023-07-10,334.6000,335.2300,327.5900,331.8300,32791449
2023-07-07,339.3200,341.7900,337.0000,337.2200,21214824
2023-07-06,337.3000,342.9900,335.5000,341.2700,28195534
2023-07-05,335.0900,341.6500,334.7276,338.1500,18172378
2023-07-03,339.1900,340.9000,336.5710,337.9900,12508692
2023-06-30,337.7500,342.7300,337.2000,340.5400,26832756
2023-06-29,334.7100,336.1100,332.6200,335.0500,16997042
2023-06-28,334.6600,337.9800,333.8100,335.8500,20259523
2023-06-27,331.8600,336.1500,329.3000,334.5700,24354110
2023-06-26,333.7200,336.1100,328.4900,328.6000,21520582
2023-06-23,334.3600,337.9600,333.4500,335.0200,23146901
2023-06-22,334.1200,340.1200,333.3400,339.7100,23556764
2023-06-21,336.3700,337.7300,332.0700,333.5600,25117799
2023-06-20,339.3100,342.0800,335.8600,338.0500,26375407
2023-06-16,351.3200,351.4700,341.9500,342.3300,46551985
2023-06-15,337.4800,349.8400,337.2000,348.1000,38899075
2023-06-14,334.3400,339.0400,332.8100,337.3400,26003791
2023-06-13,334.4650,336.9800,330.3900,334.2900,22951279
2023-06-12,328.5800,332.0999,325.1600,331.8500,24306753
2023-06-09,324.9900,329.9900,324.4100,326.7900,22528950
2023-06-08,323.9350,326.6400,323.3500,325.2600,23277708
2023-06-07,331.6500,334.4900,322.5000,323.3800,40717129
2023-06-06,335.3300,335.3700,332.1700,333.6800,20396223
2023-06-05,335.2200,338.5599,334.6601,335.9400,21307053
2023-06-02,334.2470,337.5000,332.5500,335.4000,25873769
2023-06-01,325.9300,333.5300,324.7200,332.5800,26773851
2023-05-31,332.2900,335.9400,327.3300,328.3900,45546858
2023-05-30,335.2300,335.7400,330.5200,331.2100,29503070
2023-05-26,324.0200,333.4000,323.8800,332.8900,36630633
2023-05-25,323.2400,326.9000,320.0000,325.9200,43301743
2023-05-24,314.7300,316.5000,312.6100,313.8500,23384887
2023-05-23,320.0300,322.7200,315.2500,315.2600,30797173
2023-05-22,318.6000,322.5900,318.0100,321.1800,24115664
2023-05-19,316.7400,318.7500,316.3700,318.3400,27546701
2023-05-18,314.5300,319.0400,313.7200,318.5200,27275991
2023-05-17,312.2900,314.4300,310.7400,314.0000,24315012
2023-05-16,309.8300,313.7100,309.8300,311.7400,26730347
2023-05-15,309.0950,309.9050,307.5900,309.4600,16336547
2023-05-12,310.5500,310.6500,306.6000,308.9700,19774696
2023-05-11,310.1000,311.1200,306.2601,310.1100,31680179
2023-05-10,308.6200,313.0000,307.6700,312.3100,30078044
2023-05-09,308.0000,310.0400,306.3100,307.0000,21340829
2023-05-08,310.1300,310.2000,306.0900,308.6500,21318613
2023-05-05,305.7200,311.9700,304.2700,310.6500,28197052
2023-05-04,306.2400,307.7626,303.4000,305.4100,22519907
2023-05-03,306.6200,308.6100,304.0900,304.4000,22360754
2023-05-02,307.7600,309.1800,303.9100,305.4100,26404431
2023-05-01,306.9700,308.6000,305.1500,305.5600,21294115
2023-04-28,304.0100,308.9300,303.3100,307.2600,36469613
2023-04-27,295.9700,305.2000,295.2500,304.8300,46462638
2023-04-26,296.7000,299.5700,292.7300,295.3700,64481117
2023-04-25,279.5100,281.6000,275.3700,275.4200,45772236
2023-04-24,282.0900,284.9500,278.7200,281.7700,26611014
2023-04-21,285.0100,286.2700,283.0608,285.7600,21676387
